year,problem,paper,pages,median_text_lines_per_page,median_paragraph_candidates_per_page,median_han_per_page,heading_candidates,caption_candidates,equation_line_candidates,caption_pages,equation_pages,fallback_pages,unconfirmed_pages,models_in_chain,section_sequence,detected_section_count,摘要_page,问题重述_page,问题分析_page,模型假设_page,符号说明_page,模型建立_page,模型求解_page,结果分析_page,模型检验_page,灵敏度分析_page,模型评价_page,改进方案_page,参考文献_page,附录_page
2022,C,C229,26,32.0,6.0,269.0,86,60,70,2、5、6、7、8、9、10、11、12、13、15、16、17、18、21、22,3、5、6、7、8、9、10、11、13、14、17、18、23、24、25、26,19,9,交叉验证、回归、聚类、主成分、VAR、K-Means、ODE,摘要 -> 问题重述 -> 灵敏度分析 -> 问题分析 -> 模型假设 -> 符号说明 -> 模型建立 -> 模型检验 -> 模型评价 -> 参考文献 -> 附录,11,1,2,2,3,3,6,,,12,2,19,,20,21
2023,A,A0127,58,44.0,6.0,217.5,263,44,624,2、4、5、6、7、8、9、11、13、14、16、17、19、20、21、22、24、25、26、29、30、31、32,4、5、6、7、8、9、10、11、12、13、15、16、17、18、19、22、23、24、25、32、33、34、35、36、37、38、39、40、41、42、43、44、45、46、47、48、49、50、51、52、53、54、55、56、57、58,29,21,,摘要 -> 结果分析 -> 附录 -> 模型建立 -> 问题重述 -> 问题分析 -> 模型假设 -> 符号说明 -> 参考文献 -> 模型求解 -> 灵敏度分析 -> 模型评价,12,1,2,2,3,4,1,19,1,,25,27,,8,1
2023,A,A0165,45,35,6,174,246,17,423,5、6、7、8、10、13、14、15、19、21、22、26、27、28,7、8、9、10、11、12、13、16、17、18、21、28、29、30、31、32、33、34、35、36、37、38、39、40、41、42、43、44、45,26,18,蒙特卡洛,摘要 -> 模型评价 -> 问题重述 -> 问题分析 -> 模型假设 -> 符号说明 -> 模型建立 -> 模型求解 -> 附录 -> 结果分析 -> 模型检验 -> 参考文献,12,1,2,3,4,5,6,12,14,22,,1,,25,14
2023,A,A0175,39,31,5,229,46,14,420,3、4、5、6、7、8、13、14、17、18、21,1、3、4、5、6、7、8、9、10、11、12、13、15、16、17、18、19、20、22、23、24、25、26、27、28、29、30、31、32、33、34、35、36、37、38、39,24,18,蒙特卡洛,摘要 -> 灵敏度分析 -> 问题分析 -> 模型建立 -> 模型假设 -> 符号说明 -> 模型求解 -> 结果分析 -> 模型评价 -> 改进方案 -> 参考文献 -> 附录,12,1,,2,2,2,2,12,14,,1,21,21,21,22
2023,A,A092,53,38,6,290,68,41,496,1、4、5、7、8、9、11、12、13、14、17、18、19、20、21、23、24、26、28、29、30、31,5、6、7、8、10、11、12、13、14、15、16、19、20、22、24、27、29、31、34、35、36、37、38、39、40、41、42、43、44、45、46、47、48、49、50、51、52、53,37,35,蒙特卡洛、遗传算法、回归,摘要 -> 问题重述 -> 模型假设 -> 符号说明 -> 问题分析 -> 模型建立 -> 模型求解 -> 结果分析 -> 模型检验 -> 模型评价 -> 参考文献 -> 附录,12,1,2,3,2,3,4,16,17,19,,32,,33,34
2023,B,B226,51,39,6,225,95,20,482,4、5、7、9、10、11、13、15、16、18、19、20、21,5、6、7、8、9、10、11、12、13、14、15、16、17、18、19、20、21、22、23、24、28、29、30、31、32、33、34、35、36、37、38、39、40、41、42、43、44、45、46、47、48、49、50、51,44,26,模拟退火、粒子群、0-1,摘要 -> 结果分析 -> 模型求解 -> 灵敏度分析 -> 问题重述 -> 问题分析 -> 模型建立 -> 模型假设 -> 符号说明 -> 模型评价 -> 模型检验 -> 参考文献 -> 附录,13,1,2,2,3,3,2,1,1,25,1,25,,26,27
2023,B,B311,34,38.0,2.5,62.0,166,15,385,4、7、8、9、10、12、13、14、15、16,1、2、4、5、6、8、9、10、11、13、14、15、16、18、19、20、21、22、23、24、25、26、27、28、29、30、31、32、33,28,22,多目标,摘要 -> 结果分析 -> 问题重述 -> 问题分析 -> 模型假设 -> 符号说明 -> 模型建立 -> 模型求解 -> 模型评价 -> 参考文献 -> 附录,11,1,2,2,3,4,4,10,1,,,17,,17,18
2023,B,B477,50,53.0,1.0,35.5,1169,23,581,4、5、6、7、8、9、10、11、12、14、16、17、18、19、20,4、5、6、7、8、9、10、11、12、15、16、17、18、19、20、21、22、23、24、25、26、27、28、29、30、31、32、33、34、35、36、37、38、39、40、41、42、43、44、45、46、47、48、49、50,42,32,最短路、随机森林、回归、支持向量、ODE,摘要 -> 问题重述 -> 问题分析 -> 模型假设 -> 符号说明 -> 模型建立 -> 模型求解 -> 结果分析 -> 模型评价 -> 参考文献 -> 附录,11,1,2,2,3,4,4,7,9,,,20,,20,21
2023,C,C050,44,41.0,8.5,352.5,925,20,281,3、5、6、7、8、9、11、14、17、18、22、25,6、7、9、10、11、12、13、14、15、16、17、18、19、20、21、22、27、28、33、35、36、37、38、39、40、41、42、43、44,39,11,K-Means、回归、聚类、模拟退火、灰色关联、线性规划、0-1、RNN,摘要 -> 模型求解 -> 问题重述 -> 问题分析 -> 模型建立 -> 模型假设 -> 符号说明 -> 结果分析 -> 模型评价 -> 改进方案 -> 附录,11,1,2,2,4,4,3,1,13,,,26,26,,27
2023,C,C126,74,43.0,0.0,7.0,2027,18,139,2、4、5、7、8、10、12、16、17、20、21,3、4、5、6、7、8、9、11、12、13、14、15、16、17、18、24、27、30、31、33、34、42、51、52、61、62、63、65、66、67、68、69、70、71、72、73、74,66,58,VAR、回归、ODE,摘要 -> 问题重述 -> 模型假设 -> 符号说明 -> 模型建立 -> 模型检验 -> 模型求解 -> 模型评价 -> 结果分析 -> 参考文献 -> 附录,11,1,2,,2,2,3,7,11,5,,11,,19,20
